BioWare Version 5.3.2.9 Export
Device:	arial 9260AA6	arial 9260AA6	arial 9260AA6	arial 9260AA6	arial 9260AA6	arial 9260AA6	arial 9260AA6	arial 9260AA6	arial 9260AA6
Samples (#):	4000	4000	4000	4000	4000	4000	4000	4000	4000
Rate (Hz):	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000	200.000000
Contact period start (sample #):	861	861	861	861	861	861	861	861	861
Contact period end (sample #):	3999	3999	3999	3999	3999	3999	3999	3999	3999
Contact period start time (s):	4.305000	4.305000	4.305000	4.305000	4.305000	4.305000	4.305000	4.305000	4.305000
Contact period end time (s):	19.995001	19.995001	19.995001	19.995001	19.995001	19.995001	19.995001	19.995001	19.995001
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	512.186646	512.186646	512.186646	512.186646	512.186646	512.186646	512.186646	512.186646	512.186646
Normalized length (m):	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
abs time (s)	Fx	Fy	Fz	|Ft|	Mx	My	Mz	Ax	Ay
	N	N	N	N	N m	N m	N m	m	m
0.000000	-0.026562	0.107335	-0.064915	0.128219	0.096369	0.117745	0.004093	-0.031931	-0.008228
0.005000	0.090543	0.068260	1.552007	1.556144	-0.154056	-0.216717	-0.010356	0.107705	-0.107491
0.010000	0.012353	0.146350	1.232691	1.241410	-0.158467	0.052322	0.042734	-0.074376	-0.136782
0.015000	-0.026472	0.224141	-0.229997	0.322239	-0.033872	0.083729	-0.057128	-0.031931	-0.008228
0.020000	-0.104842	-0.087621	-1.199834	1.207588	-0.022073	0.012052	0.036510	-0.031931	-0.008228
0.025000	0.129818	0.029304	-0.394561	0.416401	-0.151917	-0.216121	-0.052952	-0.031931	-0.008228
0.030000	-0.104662	0.029245	-0.391968	0.406753	-0.405282	-0.021091	-0.028643	-0.031931	-0.008228
0.035000	-0.026742	-0.165651	0.094153	0.192406	-0.270900	-0.051877	0.020101	0.519053	-2.885461
0.040000	-0.026472	0.068319	1.069838	1.072344	0.055715	0.084347	-0.024406	-0.110773	0.043850
0.045000	0.051898	0.029304	-0.231027	0.238591	-0.110115	-0.117156	-0.093541	-0.031931	-0.008228
0.050000	-0.104662	0.029364	1.233722	1.238502	-0.069439	0.251623	0.004104	-0.235886	-0.064512
0.055000	0.090633	0.185185	-0.712156	0.741400	-0.075823	0.054446	-0.038830	-0.031931	-0.008228
0.060000	0.129728	0.029364	1.070703	1.078933	-0.027143	0.158966	-0.016272	-0.180400	-0.033579
0.065000	-0.143487	-0.048845	0.417935	0.444572	0.145783	-0.057134	-0.112157	0.104774	0.340589
0.070000	-0.065477	-0.048606	-0.713711	0.718354	0.018756	0.184001	-0.026379	-0.031931	-0.008228
0.075000	-0.065747	-0.009651	0.907505	0.909935	0.185350	0.048431	0.026358	-0.085299	0.196013
0.080000	-0.221857	-0.126696	0.420006	0.491607	0.064116	0.007905	-0.018480	-0.050752	0.144426
0.085000	0.129728	-0.009651	-0.877238	0.886831	-0.193286	0.022030	-0.024465	-0.031931	-0.008228
0.090000	0.012713	-0.087502	-0.558278	0.565237	0.148311	-0.255519	-0.022154	-0.031931	-0.008228
0.095000	0.363939	0.224141	1.394326	1.458368	-0.034951	0.168713	-0.036939	-0.152931	-0.033295
0.100000	0.012533	0.068260	1.074494	1.076733	-0.029903	0.222342	-0.030638	-0.238859	-0.036058
0.105000	0.090454	-0.048666	-0.393360	0.406550	0.019519	-0.149882	0.018118	-0.031931	-0.008228
0.110000	-0.260502	0.146290	0.907175	0.955106	-0.242382	-0.027008	-0.085241	-0.002160	-0.275411
0.115000	-0.104842	0.107394	-0.392490	0.420207	-0.239978	-0.157490	0.061102	-0.031931	-0.008228
0.120000	0.090633	-0.087621	0.257859	0.287024	-0.232253	0.123163	-0.014313	-0.509571	-0.908925
0.125000	0.129818	0.068319	-0.068364	0.161846	0.183186	-0.012202	-0.044759	-0.031931	-0.008228
0.130000	-0.026472	-0.009651	0.905624	0.906062	-0.235675	-0.153588	-0.024419	0.137662	-0.268463
0.135000	0.090543	-0.048427	-0.715433	0.722764	0.019017	-0.013847	0.063307	-0.031931	-0.008228
0.140000	0.129818	0.029304	-0.391117	0.413140	-0.068492	-0.011947	-0.052952	-0.031931	-0.008228
0.145000	0.051359	0.068319	0.254927	0.268874	-0.154011	-0.287043	0.036489	1.094050	-0.612365
0.150000	-0.143667	0.107275	-0.552586	0.580947	-0.029707	0.010749	-0.022398	-0.031931	-0.008228
0.155000	-0.221947	0.068200	-0.229993	0.326816	-0.112158	-0.196416	-0.006330	-0.031931	-0.008228
0.160000	-0.026562	-0.087741	-1.039924	1.043956	0.188870	-0.291321	-0.036873	-0.031931	-0.008228
0.165000	-0.026921	-0.204726	-0.553959	0.591192	-0.185199	-0.120387	0.036146	-0.031931	-0.008228
0.170000	-0.105022	-0.087741	-0.714919	0.727899	0.104727	-0.021973	0.044375	-0.031931	-0.008228
0.175000	-0.026652	0.107335	0.418805	0.433161	-0.113719	-0.051945	0.024399	0.092100	-0.279760
0.180000	0.051628	-0.009531	0.258873	0.264143	0.353989	0.052665	0.008306	-0.235369	1.359195
0.185000	-0.026652	0.068439	-0.069044	0.100803	-0.069604	-0.154393	0.048954	-0.031931	-0.008228
0.190000	-0.182762	0.146170	0.091738	0.251363	-0.198915	-0.262663	-0.036788	2.831263	-2.176527
0.195000	0.168734	0.029245	0.093969	0.195337	0.058350	0.023700	-0.038878	-0.284141	0.612722
0.200000	-0.182672	-0.048845	-0.389219	0.432719	-0.150191	-0.024576	-0.081686	-0.031931	-0.008228
0.205000	0.207829	0.068260	-0.068866	0.229335	-0.238195	-0.144526	-0.040850	-0.031931	-0.008228
0.210000	-0.143667	0.107215	0.578367	0.605511	0.181814	-0.227333	-0.038772	0.361129	0.306129
0.215000	-0.026562	0.029245	1.070016	1.070745	-0.111281	0.084597	-0.028667	-0.110993	-0.112227
0.220000	-0.104752	-0.126577	-0.553628	0.577494	0.232935	-0.056124	0.024385	-0.031931	-0.008228
0.225000	-0.065657	-0.204487	0.097939	0.236046	-0.101830	0.082524	0.030582	-0.874545	-1.047958
0.230000	-0.143757	0.029304	0.582327	0.600524	0.268568	0.181044	-0.002105	-0.342829	0.452969
0.235000	0.090723	0.068319	0.255258	0.279383	0.267327	-0.217975	-0.034594	0.822011	1.039056
0.240000	-0.065477	0.185126	-0.390959	0.437502	0.346413	-0.020569	-0.075463	-0.031931	-0.008228
0.245000	-0.182672	-0.048666	-0.229135	0.297052	-0.023179	-0.058775	-0.032565	-0.031931	-0.008228
0.250000	-0.104482	0.185245	-0.387496	0.442024	-0.160058	0.182874	-0.052857	-0.031931	-0.008228
0.255000	0.129549	-0.048666	-0.230335	0.268711	-0.191419	-0.113827	0.007954	-0.031931	-0.008228
0.260000	-0.104842	-0.048726	-0.225691	0.253579	0.060248	0.148589	0.011956	-0.031931	-0.008228
0.265000	-0.260952	0.224260	0.095690	0.357135	0.134049	0.006012	0.016301	-0.094761	1.392639
0.270000	-0.221587	0.107335	-0.556728	0.608742	0.140009	-0.128950	-0.046613	-0.031931	-0.008228
0.275000	-0.026472	0.263275	-0.225691	0.347780	0.047456	0.151802	-0.016188	-0.031931	-0.008228
0.280000	0.168644	0.380022	-0.065937	0.420957	-0.251649	0.058149	-0.043076	-0.031931	-0.008228
0.285000	-0.026472	0.029304	-0.230005	0.233370	0.226722	-0.052770	-0.032599	-0.031931	-0.008228
0.290000	0.207739	-0.204487	0.422599	0.513381	-0.186062	0.230161	0.020347	-0.576564	-0.448510
